year,circuit,driver,lap_number,lap_time_seconds,compound,tyre_life,is_pit_lap,track_status,lap_time_delta,tyre_age_normalised,relative_position,laps_remaining,compound_encoded,pit_in_next_3_laps
2019,Canada,BOT,22,76.886,MEDIUM,25.0,0,1.0,0.12999999999999545,0.8928571428571429,0.2,48,1,0
2019,Canada,BOT,23,76.71,MEDIUM,26.0,0,1.0,-0.04600000000000648,0.9285714285714286,0.2,47,1,0
2019,Canada,BOT,24,76.764,MEDIUM,27.0,0,1.0,0.007999999999995566,0.9642857142857143,0.2,46,1,0
2019,Canada,BOT,25,76.795,MEDIUM,28.0,0,1.0,0.03900000000000148,1.0,0.2,45,1,0
2019,Canada,BOT,26,76.847,MEDIUM,29.0,0,1.0,0.09099999999999397,1.0357142857142858,0.2,44,1,0
2019,Canada,BOT,27,76.748,MEDIUM,30.0,0,1.0,-0.007999999999995566,1.0714285714285714,0.2,43,1,1
2019,Canada,BOT,28,77.008,MEDIUM,31.0,0,1.0,0.25199999999999534,1.1071428571428572,0.2,42,1,1
2019,Canada,BOT,29,77.642,MEDIUM,32.0,0,1.0,0.8859999999999957,1.1428571428571428,0.2,41,1,1
2019,Canada,BOT,30,93.553,MEDIUM,33.0,1,12.0,16.796999999999997,1.1785714285714286,0.3,40,1,0
2019,Canada,BOT,31,78.106,HARD,1.0,0,21.0,1.3499999999999943,0.02631578947368421,0.3,39,2,0
2019,Canada,BOT,32,75.689,HARD,2.0,0,1.0,-1.0670000000000073,0.05263157894736842,0.3,38,2,0
2019,Canada,BOT,33,76.106,HARD,3.0,0,1.0,-0.6500000000000057,0.07894736842105263,0.3,37,2,0
2019,Canada,BOT,34,77.309,HARD,4.0,0,1.0,0.5529999999999973,0.10526315789473684,0.3,36,2,0
2019,Canada,BOT,35,77.368,HARD,5.0,0,1.0,0.6119999999999948,0.13157894736842105,0.3,35,2,0
2019,Canada,BOT,36,77.463,HARD,6.0,0,1.0,0.7069999999999936,0.15789473684210525,0.3,34,2,0
